labels,ap,counts,text
374,20.90,152,launch kite
375,20.13,442,pull kite
376,2.37,114,no_interaction kite
377,27.07,210,cut_with knife
378,38.01,573,hold knife
379,3.55,40,stick knife
380,1.21,1,wash knife
381,33.56,583,wield knife
382,16.06,5,lick knife
383,1.65,39,no_interaction knife
384,37.64,228,hold laptop
385,14.95,36,open laptop
386,53.36,622,read laptop
387,35.48,14,repair laptop
388,53.77,246,type_on laptop
389,20.74,191,no_interaction laptop
390,24.45,1,clean microwave
391,23.52,5,open microwave
392,43.03,7,operate microwave
393,0.00,18,no_interaction microwave
394,9.21,47,control mouse
395,18.18,56,hold mouse
396,2.87,1,repair mouse
397,48.88,42,no_interaction mouse
398,0.17,1,buy orange
399,13.29,3,cut orange
400,15.15,3,eat orange
401,28.72,37,hold orange
402,30.31,1,inspect orange
403,7.95,1,peel orange
404,11.75,3,pick orange
405,13.64,7,squeeze orange
406,9.09,2,wash orange
407,0.76,128,no_interaction orange
408,41.39,4,clean oven
409,17.38,13,hold oven
410,36.25,81,inspect oven
411,39.91,5,open oven
412,23.76,18,repair oven
413,17.04,23,operate oven
414,0.34,69,no_interaction oven
415,61.60,36,check parking_meter
416,63.03,24,pay parking_meter
417,22.73,1,repair parking_meter
418,28.29,271,no_interaction parking_meter
419,5.07,1,buy pizza
420,38.27,83,carry pizza
421,27.68,36,cook pizza
422,32.18,49,cut pizza
423,26.93,124,eat pizza
424,34.23,184,hold pizza
425,22.37,59,make pizza
426,22.15,52,pick_up pizza
427,11.77,5,slide pizza
428,14.00,1,smell pizza
429,47.86,112,no_interaction pizza
430,84.63,2,clean refrigerator
431,22.51,38,hold refrigerator
432,0.00,4,move refrigerator
433,50.47,22,open refrigerator
434,6.06,36,no_interaction refrigerator
435,38.17,186,hold remote
436,15.09,62,point remote
437,10.49,3,swing remote
438,0.16,21,no_interaction remote
439,26.30,30,carry sandwich
440,22.85,1,cook sandwich
441,39.39,3,cut sandwich
442,33.42,120,eat sandwich
443,28.78,197,hold sandwich
444,7.36,12,make sandwich
445,35.99,85,no_interaction sandwich
446,15.53,148,cut_with scissors
447,20.15,247,hold scissors
448,22.95,89,open scissors
449,14.58,25,no_interaction scissors
450,27.11,2,clean sink
451,9.28,12,repair sink
452,49.24,9,wash sink
453,5.88,79,no_interaction sink
454,33.25,137,carry skateboard
455,69.36,435,flip skateboard
456,40.00,258,grind skateboard
457,40.46,410,hold skateboard
458,67.71,982,jump skateboard
459,29.93,58,pick_up skateboard
460,61.43,1681,ride skateboard
461,13.64,22,sit_on skateboard
462,52.01,1488,stand_on skateboard
463,12.98,123,no_interaction skateboard
464,17.92,5,adjust skis
465,10.47,66,carry skis
466,21.07,90,hold skis
467,20.42,21,inspect skis
468,46.10,124,jump skis
469,11.19,29,pick_up skis
470,3.70,5,repair skis
471,40.50,685,ride skis
472,36.30,892,stand_on skis
473,41.01,1013,wear skis
474,19.49,19,no_interaction skis
475,1.36,5,adjust snowboard
476,30.99,38,carry snowboard
477,51.81,61,grind snowboard
478,36.92,157,hold snowboard
479,60.40,355,jump snowboard
480,58.17,631,ride snowboard
481,55.55,651,stand_on snowboard
482,57.83,721,wear snowboard
483,9.51,3,no_interaction snowboard
484,42.21,244,hold spoon
485,29.49,93,lick spoon
486,9.94,1,wash spoon
487,16.01,32,sip spoon
488,3.80,134,no_interaction spoon
489,11.77,60,block sports_ball
490,35.67,179,carry sports_ball
491,9.74,91,catch sports_ball
492,36.07,131,dribble sports_ball
493,20.24,234,hit sports_ball
494,49.23,339,hold sports_ball
495,34.85,111,inspect sports_ball
496,74.55,299,kick sports_ball
497,33.57,11,pick_up sports_ball
498,20.53,68,serve sports_ball
499,1.53,1,sign sports_ball
500,15.20,1,spin sports_ball
501,15.37,142,throw sports_ball
502,0.85,22,no_interaction sports_ball
503,23.64,22,hold stop_sign
504,50.58,10,stand_under stop_sign
505,3.03,1,stop_at stop_sign
506,7.95,44,no_interaction stop_sign
507,45.41,231,carry suitcase
508,39.66,115,drag suitcase
509,29.10,238,hold suitcase
510,17.68,1,hug suitcase
511,3.41,10,load suitcase
512,8.48,11,open suitcase
513,7.47,30,pack suitcase
514,7.01,30,pick_up suitcase
515,2.58,1,zip suitcase
516,8.60,780,no_interaction suitcase
517,57.02,228,carry surfboard
518,13.60,6,drag surfboard
519,46.51,314,hold surfboard
520,33.99,15,inspect surfboard
521,30.47,3,jump surfboard
522,0.83,29,lie_on surfboard
523,1.65,2,load surfboard
524,56.24,221,ride surfboard
525,59.13,154,stand_on surfboard
526,22.37,25,sit_on surfboard
527,1.67,1,wash surfboard
528,9.09,180,no_interaction surfboard
529,36.82,47,carry teddy_bear
530,60.64,276,hold teddy_bear
531,64.20,56,hug teddy_bear
532,17.26,3,kiss teddy_bear
533,10.16,147,no_interaction teddy_bear
534,49.04,200,carry tennis_racket
535,63.13,243,hold tennis_racket
536,5.68,1,inspect tennis_racket
537,48.60,85,swing tennis_racket
538,9.09,33,no_interaction tennis_racket
539,34.24,57,adjust tie
540,11.76,1,cut tie
541,36.26,83,hold tie
542,21.84,13,inspect tie
543,10.28,30,pull tie
544,25.24,28,tie tie
545,37.48,821,wear tie
546,3.44,203,no_interaction tie
547,33.77,2,hold toaster
